invoice_no,customer_id,product_id,date_id,payment_id,mall_id,quantity,price
I138884,C241288,1,20220508,1,1,5,1500.4
I317333,C111565,2,20211212,2,2,3,1800.51
I127801,C266599,1,20210911,3,3,1,300.08
I293455,C159642,1,20210411,1,3,3,900.24
I336189,C555402,1,20220306,1,1,2,600.16
I688768,C362288,2,20210711,1,9,5,3000.85
I195744,C330667,5,20220501,1,10,3,15.69
I412481,C125696,5,20210105,3,8,1,5.23
I217053,C192344,2,20221010,3,7,4,2400.68
I161949,C159164,6,20220407,2,6,3,107.52
I109053,C232624,1,20211107,2,3,4,1200.32
I187519,C450287,1,20220807,1,3,2,600.16
I246550,C716788,5,20211009,3,10,3,15.69
I117291,C134449,3,20220912,1,10,5,75.75
I205366,C241642,1,20220711,2,10,4,1200.32
I269690,C126436,4,20220702,2,10,3,121.98
I137794,C133687,5,20211203,2,9,3,15.69
I148377,C841663,1,20220201,3,5,1,300.08
I133061,C336576,1,20220906,1,6,5,1500.4
I209289,C439382,1,20210502,1,1,4,1200.32
I157285,C123427,1,20220603,3,6,4,1200.32
I218590,C224743,4,20220905,2,4,4,162.64
I402376,C309926,2,20221009,3,2,5,3000.85
I251356,C493252,4,20210409,3,1,4,162.64
I276526,C136117,2,20210210,2,7,5,3000.85
I870944,C169749,8,20210806,1,8,3,35.19
I115870,C135790,2,20210409,3,3,4,2400.68
I306076,C679476,6,20220111,3,7,2,71.68
I340014,C169650,1,20220809,1,5,2,600.16
I253242,C309438,2,20220704,3,6,5,3000.85
I108359,C253905,5,20220706,3,6,1,5.23
I722319,C157070,6,20210310,2,1,1,35.84
I154469,C807389,6,20210306,2,6,3,107.52
I153930,C567813,5,20220908,3,2,3,15.69
I869144,C181972,5,20210405,2,6,4,20.92
I256691,C152549,4,20220402,3,3,1,40.66
I796162,C111832,5,20220601,1,3,5,26.15
I224371,C204174,1,20220102,1,6,5,1500.4
I293215,C166635,4,20211212,1,5,4,162.64
I109649,C282643,5,20210810,2,7,3,15.69
I147334,C306395,1,20221201,3,9,2,600.16
I278121,C885344,6,20210706,2,3,4,143.36
I320846,C274870,1,20211111,1,1,4,1200.32
I133387,C271799,6,20210706,3,2,4,143.36
I219780,C658980,1,20210810,3,1,2,600.16
I160221,C319231,1,20220108,3,6,3,900.24
I106691,C150594,1,20210909,3,1,4,1200.32
I304531,C263874,1,20210704,2,4,1,300.08
I762439,C663463,3,20210512,3,3,4,60.6
I151588,C310642,3,20221204,1,3,3,45.45
I215279,C223343,1,20230102,1,1,2,600.16
I216061,C309082,5,20220510,1,6,3,15.69
I103596,C178734,2,20210308,3,1,5,3000.85
I259878,C223010,1,20221210,1,4,4,1200.32
I201704,C340116,5,20211207,3,3,3,15.69
I168037,C816586,6,20210307,3,6,4,143.36
I141241,C143442,8,20221104,1,1,5,58.65
I601026,C693789,8,20220503,1,10,5,58.65
I257890,C259342,2,20210510,3,1,1,600.17
I402966,C375422,4,20210210,2,9,4,162.64
I244241,C911768,1,20220308,1,9,5,1500.4
I328321,C271029,8,20211202,1,4,2,23.46
I417106,C292356,1,20210304,3,8,3,900.24
I248153,C329633,5,20220307,3,4,1,5.23
I258322,C220281,1,20211207,3,9,4,1200.32
I409288,C513561,5,20210203,3,9,3,15.69
I149521,C168348,1,20210411,3,1,2,600.16
I295784,C166191,4,20220806,1,2,3,121.98
I219555,C266961,1,20211009,1,3,3,900.24
I246151,C287409,3,20210507,2,4,3,45.45
I606511,C307535,8,20220909,1,9,2,23.46
I342816,C238961,5,20210411,3,6,2,10.46
I160585,C298229,4,20220502,3,4,2,81.32
I771414,C183404,5,20220912,3,2,3,15.69
I798213,C662958,2,20210301,3,4,3,1800.51
I525798,C581947,4,20230302,3,6,4,162.64
I165687,C206501,1,20220812,3,4,3,900.24
I169015,C726021,1,20221108,1,6,5,1500.4
I148276,C616106,1,20220712,2,10,4,1200.32
I783231,C771066,1,20220501,2,8,5,1500.4
I313426,C101196,4,20220504,2,1,4,162.64
